title	id	credits	description	prereq	coreq	notes	faculty	restrictions	terms	profs
AAAA 100	AAAA 100		AAAA				00	
Advanced Qualitative Research Methods and Data Analysis	SWRK 725	3	Review of the principal methods comprised under the area of qualitative research and problems related to the utilization of those methods. Particular attention to analysis arising from these methods.				Faculty of Arts	Open only to students in the joint Social Work Ph.D. program
Independent Study	SWRK 726	3	Independent study of a selelcted field or topic.				Faculty of Arts	Open only to students in the joint Social Work Ph.D. program
Communications Transfer Course	TRNS COMS		Transfer Credit Processing				Faculty of Arts	
Engineering General Transfer Course	TRNS ENGR		Transfer Credit Processing				Faculty of Engineering	
General Studies Transfer Course	TRNS GNST		Transfer Credit Processing				Faculty of Arts	
TRNS HUMN	TRNS HUMN		Transfer Credit Processing				Faculty of Arts	
Foreign Language Transfer Course	TRNS LANG		Transfer Credit Processing				Faculty of Arts	
TRNS MASC	TRNS MASC		Transfer Credit Processing				Faculty of Science	
TRNS SOSC	TRNS SOSC		Transfer Credit Processing				Faculty of Arts	
UQAC 023	UQAC 023	3	UQAC				School of Physical & Occupational Therapy	
UQAC 024	UQAC 024	3	UQAC				School of Physical & Occupational Therapy	
Alimentation et activit� physique	UQAC 100	3	UQAC				School of Physical & Occupational Therapy	
UQAC 101	UQAC 101	3	UQAC				School of Physical & Occupational Therapy	
UQAC 102	UQAC 102	3	UQAC				School of Physical & Occupational Therapy	
UQAC 103	UQAC 103	3	UQAC				School of Physical & Occupational Therapy	
UQAC 104	UQAC 104	3	UQAC				School of Physical & Occupational Therapy	
Principes de Management	UQAC 105	3	UQAC				School of Physical & Occupational Therapy	
UQAC 106	UQAC 106	3	UQAC				School of Physical & Occupational Therapy	
UQAC 1060	UQAC 1060	3	UQAC				School of Physical & Occupational Therapy	
UQAC 109	UQAC 109	3	UQAC				School of Physical & Occupational Therapy	
UQAC 110	UQAC 110	3	UQAC				School of Physical & Occupational Therapy	
UQAC 111	UQAC 111	3	UQAC				School of Physical & Occupational Therapy	
UQAC 112	UQAC 112	3	UQAC				School of Physical & Occupational Therapy	
UQAC 113	UQAC 113	3	UQAC				School of Physical & Occupational Therapy	
UQAC 114	UQAC 114	3	UQAC				School of Physical & Occupational Therapy	
UQAC 116	UQAC 116	3	UQAC				School of Physical & Occupational Therapy	
UQAC 119	UQAC 119	3	UQAC				School of Physical & Occupational Therapy	
UQAC 120	UQAC 120	3	UQAC				School of Physical & Occupational Therapy	
UQAC 1200	UQAC 1200	3	UQAC				School of Physical & Occupational Therapy	
UQAC 121	UQAC 121	3	UQAC				School of Physical & Occupational Therapy	
Psychologie de l'apprentissage	UQAC 123	3	UQAC				School of Physical & Occupational Therapy	
UQAC 124	UQAC 124	3	UQAC				School of Physical & Occupational Therapy	
UQAC 125	UQAC 125	3	UQAC				School of Physical & Occupational Therapy	
UQAC 127	UQAC 127	3	UQAC				School of Physical & Occupational Therapy	
UQAC 128	UQAC 128	3	UQAC				School of Physical & Occupational Therapy	
Psychologie sociale	UQAC 130	3	UQAC				School of Physical & Occupational Therapy	
Psychologie du d�veloppement de l'adolescent	UQAC 135	3	UQAC				School of Physical & Occupational Therapy	
UQAC 144	UQAC 144	3	UQAC				School of Physical & Occupational Therapy	
UQAC 145	UQAC 145	3	UQAC				School of Physical & Occupational Therapy	
UQAC 147	UQAC 147	3	UQAC				School of Physical & Occupational Therapy	
UQAC 148	UQAC 148	3	UQAC				School of Physical & Occupational Therapy	
UQAC 152	UQAC 152	3	UQAC				School of Physical & Occupational Therapy	
Anal&Int-donn�es quant psych I	UQAC 155	3	UQAC				School of Physical & Occupational Therapy	
UQAC 156	UQAC 156	3	UQAC				School of Physical & Occupational Therapy	
UQAC 186	UQAC 186	3	UQAC				School of Physical & Occupational Therapy	
UQAC 201	UQAC 201	3	UQAC				School of Physical & Occupational Therapy	
Natation et securite	UQAC 202	3	UQAC				School of Physical & Occupational Therapy	
UQAC 205	UQAC 205	3	UQAC				School of Physical & Occupational Therapy	
UQAC 206	UQAC 206	3	UQAC				School of Physical & Occupational Therapy	
UQAC 207	UQAC 207	3	UQAC				School of Physical & Occupational Therapy	
UQAC 210	UQAC 210	3	UQAC				School of Physical & Occupational Therapy	
UQAC 215	UQAC 215	3	UQAC				School of Physical & Occupational Therapy	
UQAC 216	UQAC 216	3	UQAC				School of Physical & Occupational Therapy	
UQAC 222	UQAC 222	3	UQAC				School of Physical & Occupational Therapy	
UQAC 243	UQAC 243	3	UQAC				School of Physical & Occupational Therapy	
UQAC 244	UQAC 244	3	UQAC				School of Physical & Occupational Therapy	
UQAC 245	UQAC 245	3	UQAC				School of Physical & Occupational Therapy	
Psychologie g�rontologique	UQAC 246	3	UQAC				School of Physical & Occupational Therapy	
UQAC 248	UQAC 248	3	UQAC				School of Physical & Occupational Therapy	
Analyse et interpr�tation de donn�es quantitatives en psychologie II	UQAC 255	3	UQAC				School of Physical & Occupational Therapy	
UQAC 305	UQAC 305	3	UQAC				School of Physical & Occupational Therapy	
Fondements de la dynamique familiale	UQAC 317	3	UQAC				School of Physical & Occupational Therapy	
UQAC 318	UQAC 318	3	UQAC				School of Physical & Occupational Therapy	
Physiologie de l�homme en movement	UQAC 319	3	UQAC				School of Physical & Occupational Therapy	
UQAC 320	UQAC 320	3	UQAC				School of Physical & Occupational Therapy	
Introduction � la psychologie sportive	UQAC 324	3	UQAC				School of Physical & Occupational Therapy	
UQAC 328	UQAC 328	3	UQAC				School of Physical & Occupational Therapy	
Psychologie de la sexualit�	UQAC 329	3	UQAC				School of Physical & Occupational Therapy	
UQAC 333	UQAC 333	3	UQAC				School of Physical & Occupational Therapy	
UQAC 429	UQAC 429	3	UQAC				School of Physical & Occupational Therapy	
Stage clinique en physioth�rapie	UQAC 583	7	UQAC				School of Physical & Occupational Therapy	
M�thodologie avanc�e de la recherche	UQAC 611	4	UQAC				School of Physical & Occupational Therapy	
M�thodologie avanc�e de la recherche	UQAC 612	3	UQAC				School of Physical & Occupational Therapy	
R�adaptation Cardiorespiratoire	UQAC 660	5	UQAC				School of Physical & Occupational Therapy	
UQAC 671	UQAC 671	7	UQAC				School of Physical & Occupational Therapy	
Stage sp�cialis� en physioth�rapie II	UQAC 672	7	UQAC				School of Physical & Occupational Therapy	
Stage sp�cialis� en physioth�rapie III	UQAC 673	7	UQAC				School of Physical & Occupational Therapy	
UQAC 674	UQAC 674	7	UQAC				School of Physical & Occupational Therapy	
UQAC 812	UQAC 812	3	UQAC				School of Physical & Occupational Therapy	
UQSP 116	UQSP 116	3	UQSP				School of Physical & Occupational Therapy	
Planning the 21st Century City	URBP 201	3	The study of how urban planners respond to the challenges posed by contemporary cities world-wide. Urban problems related to the environment, shelter, transport, human health, livelihoods and governance are addressed; innovative plans to improve cities and city life are analyzed.			(3-1-5)	Faculty of Engineering	
Principles and Practice 1	URBP 501	2	This six-week intensive course exposes students to issues and techniques that are applicable in diverse professional planning contexts. The subject matter, geographic area, scale of intervention and institutional location of planning varies from semester to semester. The course focuses on a specific case study and is taught by a visiting lecturer with professional experience in the selected subject matter.			(2-0-4)	Faculty of Engineering	
Public Transport: Planning and Operations	URBP 503	3	Overview of topics in planning and operations for public transport with special emphasis on best-practice strategies of contemporary urban systems.				Faculty of Engineering	Graduate students and U3 students only.
Planning for Active Transportation	URBP 504	3	The importance of transit, walking, and cycling as modes of transportation in sustainable urban environments. Planning, design, and operation of mass transit systems, bikeways, and footpaths.			(3-0-6)	Faculty of Engineering	
Geographic Information Systems	URBP 505	3	An introduction to fundamental geographic information system (GIS) concepts and a range of GIS applications in urban and regional planning.			(0-2-7)	Faculty of Engineering	
Environmental Policy and Planning	URBP 506	3	Analytical and institutional approaches for understanding and addressing environmental issues at various scales; characteristics of environmental issues, science-policy-politics interactions relating to the environment, and implications for policy; sustainability, and the need for and challenges associated with interdisciplinary perspectives; externalities and their regulation; public goods; risk perception and implications; the political-institutional context and policy instruments; cost-benefit analysis; multiple-criteria decision-making approaches; multidimensional life-cycle analysis; policy implementation issues; conflict resolution; case studies.			(3-0-6)	Faculty of Engineering	This course is open to students in U3 and above
Community Design Workshop	URBP 514	3	Context-focused community-based architectural projects undertaken in collaboration with external partners. Exploration of challenges, needs, and opportunities in architectural and urban-design interventions on real sites through interdisciplinary and cross-sectoral collaboration.			(1-4-4)	Faculty of Engineering	Not open to students who have taken or are taking ARCH 514.
Urban Infrastructure and Services in International Context	URBP 530	3	Issues of practical and theoretical importance in relation to urban infrastructure and services in the international context				Faculty of Engineering	
Current Issues in Transportation 1	URBP 536	2	Current transportation issues and topics are addressed from practitioner and academic perspectives.			(1-0-5)	Faculty of Engineering	
Current Issues in Transportation 2	URBP 537	2	Current transportation issues and topics are addressed from the perspectives of both professional practitioners and academics.	URBP 536		(1-0-5)	Faculty of Engineering	
Selected Topics in Planning	URBP 541	1	Methods and techniques pertinent to contemporary practice in urban planning.			(1-0-2)	Faculty of Engineering	
Selected Topics in Visual Analysis	URBP 542	1	Methods and techniques of visual analysis pertinent to contemporary practice in urban planning.			(1-0-2).	Faculty of Engineering	
Special Topics	URBP 543	3	Special topics related to Urban Planning will be presented by staff and visiting lecturers.				Faculty of Engineering	
Urban Design and Planning	URBP 551	3	Fundamentals of city-building in Canada relative to municipal, regional, and provincial actions used to guide urban growth and development. Contemporary urban design in major metropolitan centres as shaped by legal, political, and cultural realities. Current preoccupations in city-building			(3-0-6)	Faculty of Engineering	Not to be taken by undergraduates before U3. Not open to M.Arch. students.
Urban Governance	URBP 553	3	Critical perspectives on the governance of contemporary cities and urban regions, with a focus on North America. The relationship between planners and other important local governance actors, including municipal governments, the realestate industry, and community groups. The role of planning and planners in challenging or perpetuating urban social, political, economic, and environmental inequities.			(3-0-6)	Faculty of Engineering	Not open to students who have taken URBP 617 in fall 2015 or URBP 616 in fall 2016.
Real Estate and Planning	URBP 555	3	Basic concepts of real estate and property rights and how these are valued. The specificities of property markets and their segmentation. The paradox of realestate uniqueness. Actors and processes of realestate development and investment in practical terms (proforma analysis, investment analysis, leases and property management) and broader terms (institutional investors, financialization). Segmentation of development processes among local, supralocal and international actors, including consultants. Roles of the planner and planning regulations? how these affect property values and property development with specific reference to Qu�bec planning legislation and powers. Market evaluation and analysis of the development potential of specific sites.			(3-0-6)	Faculty of Engineering	Not open to students who have taken URBP 617 in winter 2017.
Urban Economy: A Spatial Perspective	URBP 556	3	Economic functions played by cities; economic processes governing city formation, city growth, and the internal spatial organization of cities. Describing and understanding how cities can be interpreted as economic phenomena. Economic origins of cities, the industrial revolution, city systems and networks, the role of mobility and telecommunications, innovation and creativity as urban phenomena, the internal spatial logic of metropolitan areas.				Faculty of Engineering	
Rethinking Zoning	URBP 557	3	Zoning and land use planning, and their evolution within social, legal, economic and environmental contexts. The legacy, limitations and potential of zoning. The competing interests in planning of preserving neighbourhood character and accommodating growth. Zoning as a strategic point of negotiation between real estate capital and public goods. The use of inclusionary zoning and the up-zoning of low-density residential neighbourhoods to address affordable housing crises in Canadian and American cities. The practice, politics and potential of zoning towards housing justice.			(3-0-6).	Faculty of Engineering	
Urban Design Seminar	URBP 604	3	Concepts and methods used in contemporary urban design			(1-2-6)	Faculty of Engineering	Not open to students who have taken or are taking ARCH 604.
Research Seminar	URBP 606D1	3	Formulate and develop a research question, methods and literature review for a thesis. Present the research proposal in a seminar format.			Students must register for both URBP 606D1 and URBP 606D2 | No credit will be given for this course unless both URBP 606D1 and URBP 606D2 are successfully completed in consecutive terms	Faculty of Engineering	Only open to students enrolled in the M.Sc. in Urban Planning, Policy and Design (Thesis).
Research Seminar	URBP 606D2	3	See URBP 606D1 for description.	URBP 606D1		No credit will be given for this course unless both URBP 606D1 and URBP 606D2 are successfully completed in consecutive terms | Only open to students enrolled in the M.Sc. in Urban Planning, Policy and Design (Thesis).	Faculty of Engineering	
Reading Course: Urban Planning	URBP 607	3	The Reading Course offers an opportunity to explore, under the supervision of a staff member, subject areas relevant to urban planning.				Faculty of Engineering	
Reading Course: Urban Planning	URBP 607D1		The Reading Course offers an opportunity to explore, under the supervision of a staff member, subject areas relevant to urban planning.			Students must register for both URBP 607D1 and URBP 607D2 | No credit will be given for this course unless both URBP 607D1 and URBP 607D2 are successfully completed in consecutive terms | URBP 607D1 and URBP 607D2 together are equivalent to URBP 607	Faculty of Engineering	
Reading Course: Urban Planning	URBP 607D2		See URBP 607D1 for course description.	URBP 607D1		No credit will be given for this course unless both URBP 607D1 and URBP 607D2 are successfully completed in consecutive terms | URBP 607D1 and URBP 607D2 together are equivalent to URBP 607	Faculty of Engineering	
Advanced GIS Applications	URBP 608	3	Introduces students to real-world geographic information systems (GIS) problems and enhances the mastering of the geographic information systems as a tool for solving complex urban planning problems. Students will analyze several planning research problems spatially and introduce solutions to these issues.	URBP 505 or permission of the instructor			Faculty of Engineering	Open to graduate students in Urban Planning, Urban Design, Civil Engineering, Geography (or permission of instructor)
Visual Communication 1	URBP 609	1	Techniques used for visual communication in planning practice, including a basic introduction to software.				Faculty of Engineering	
Visual Communication 2	URBP 610	1	Refinement of techniques used for visual communication in planning practice, including basic use of software.		URBP 609		Faculty of Engineering	
Data Visualization for Planning	URBP 611	1	An introduction to data visualization for planning, using computer applications.				Faculty of Engineering	
History and Theory of Planning	URBP 612	3	A review of planning history and theories of planning. These are examined under three categories				Faculty of Engineering	
Selected Topics 1	URBP 616	3	Special topics related to Urban Planning will be presented by staff and visiting lecturers.				Faculty of Engineering	
Selected Topics 2	URBP 617	3	Special topics related to Urban Planning will be presented by staff and visiting lecturers.				Faculty of Engineering	
Selected Topics 3	URBP 618	3	Special topics related to Urban Planning will be presented by staff and visiting lecturers.				Faculty of Engineering	
Land Use and Transport Planning	URBP 619	4	Analysis of transport and land use interactions in urban areas. Study of the impacts of transport systems on travel behaviour, residential and work location decisions, and urban form; discussion of implications for planning practice.				Faculty of Engineering	
Land Use and Transport Planning	URBP 619D1	2	Analysis of transport and land use interactions in urban areas. Study of the impacts of transport systems on travel behaviour, residential and work location decisions, and urban form; discussion of implications for planning practice.			Students must register for both URBP 619D1 and URBP 619D2 | No credit will be given for this course unless both URBP 619D1 and URBP 619D2 are successfully completed in consecutive terms | URBP 619D1 and URBP 619D2 together are equivalent to URBP 619	Faculty of Engineering	
Land Use and Transport Planning	URBP 619D2	2	See URBP 619D1 for course description.	URBP 619D1		No credit will be given for this course unless both URBP 619D1 and URBP 619D2 are successfully completed in consecutive terms | URBP 619D1 and URBP 619D2 together are equivalent to URBP 619	Faculty of Engineering	
Transport Economics	URBP 620	4	Economic and financial aspects of urban transport policies and planning. Introduction to impact assessment techniques for major transport projects and policies; discussion of political debates concerning transport financing.	An introductory course in microeconomics or permission of instructor.			Faculty of Engineering	
Planning Studio 1	URBP 622	6	Introduction to planning practice based on real-world urban research and planning at the neighbourhood level. Topics			Research and design studio.	Faculty of Engineering	
Planning Studio 1	URBP 622D1	3	Introduction to planning practice based on real-world urban research and planning at the neighbourhood level. Topics			Research and design studio. | Students must register for both URBP 622D1 and URBP 622D2 | No credit will be given for this course unless both URBP 622D1 and URBP 622D2 are successfully completed in consecutive terms | URBP 622D1 and URBP 622D2 together are equivalent to URBP 622	Faculty of Engineering	
Planning Studio 1	URBP 622D2	3	For description see URBP 622D1.	URBP 622D1		No credit will be given for this course unless both URBP 622D1 and URBP 622D2 are successfully completed in consecutive terms | URBP 622D1 and URBP 622D2 together are equivalent to URBP 622	Faculty of Engineering	
Planning Studio 2	URBP 623	6	Research and planning techniques for land development. Students work in teams to do research on context, program and precedents and develop a detailed plan for a site that poses urban and/or environmental challenges. Topics	URBP 622		(1-5-12)	Faculty of Engineering	
Planning Studio 3	URBP 624	6	Exploration of complex planning problems at the local or regional scale, chosen depending on the experience and research interests of the participants, for the acquisition of research and planning skills in greater depth. Students work in teams to fulfill a mandate for a public, private or third-sector client. Substantive issues vary according to clients. Topics	URBP 622 and URBP 623		(6-0-12)	Faculty of Engineering	
Principles and Practice 2	URBP 625	2	This six-week intensive course exposes students to issues and techniques which are applicable in diverse professional planning contexts that vary in terms of their subject matter, location, scale and the role played by planners. The course focuses on a specific case study and is taught by a visiting lecturer with experience in the selected subject area. Course topics are systematically varied over a two-year cycle.				Faculty of Engineering	
Principles and Practice 3	URBP 626	2	This six-week intensive course exposes students to issues and techniques that are applicable in diverse professional planning contexts. The subject matter, geographic area, scale of intervention and institutional location of planning vary from semester to semester. The course is taught by a visiting lecturer, adjunct professor or Ph.D. student.				Faculty of Engineering	
URBP 628	URBP 628		An internship related to the practice of urban planning is required. The practical experience must be of at least 360 hours' duration and be supervised by a professional in the planning field. An evaluation of the student's performance by the supervisor, as well as a short report by the student, forms the basis for assessment.				Faculty of Engineering	
Planning Theory and Practice in a Globalizing World	URBP 629	3	Planning theory, urban policy and planning practices in comparative perspective Topics covered include	URBP 622 or permission of instructor.		(3-0-6)	Faculty of Engineering	
Supervised Research Project 1	URBP 630	3	Supervised research project, providing foundations to focus on a particular area of enquiry in planning.				Faculty of Engineering	
Supervised Research Project 2	URBP 631	3	Continuation of the requirements for the Supervised Research Project.				Faculty of Engineering	
Supervised Research Project 3	URBP 632	6	Continuation of the requirements for the Supervised Research Project.				Faculty of Engineering	
Research Methods for Planners	URBP 633	3	An introduction to methods commonly used in urban research and planning practice. Topics include municipal information systems, fieldwork techniques, survey design and analysis, analysis of spatial and temporal patterns, and the evaluation of policies and plans.			Priority given to Urban Planning Students	Faculty of Engineering	
Planning Law	URBP 635	3	A comparative study of private and public control of land use and development, including master plans, zoning bylaws, subdivision control, urban redevelopment, expropriation, regional planning, environmental protection, and heritage conservation.				Faculty of Engineering	
Introduction to Planning Statistics	URBP 640	1	Introduction to descriptive and inferential statistics, focusing on building confidence and intuition in using and manipulating quantitative information. Correlation, t-tests, chi-squared tests, and bivariate regression.			Lectures held on Friday, Oct 1, 8, 22 and 29 | Web add/drop deadline is October 1, 2021 | Web withdrawal with refund deadline is October 8, 2021 | Web withdrawal with NO refund deadline is October 22, 2021 | Labs held on Friday, Oct 1, 8, 22 and 29	Faculty of Engineering	Not open to students who have taken URBP 642 prior to fall 2020.
Reading the Urban Landscape	URBP 641	1	An overview of selected passive techniques that may be used to assess the congruence between urban environments and people as they go about their daily activities. These techniques include			(1-0-2) | Held on Monday, Sept 13, 20, 27 and Oct 4. | Web add/drop deadline is September 13, 2021 | Web withdrawal with refund deadline is September 20, 2021 | Web withdrawal with NO refund deadline is September 27, 2021	Faculty of Engineering	
Introduction to Planning Data	URBP 642	1	Techniques of exploratory data analysis. Data cleaning and transformation. Visualization techniques. Census data and the methods most commonly used to analyze them. Principles of reproducible research.			Lectures held on Friday, Sept 3, 10, 17 and 24. | Web add/drop deadline is September 3, 2021 | Web withdrawal with refund deadline is September 10, 2021 | Web withdrawal with NO refund deadline is September 17, 2021 | Labs held on Friday, Sept 3, 10, 17 and 24.	Faculty of Engineering	
Selected Geographic Information Systems Applications	URBP 643	1	Selected applications in Geographic Information Systems (GIS) related to urban planning.				Faculty of Engineering	
Multivariate Statistics	URBP 644	1	Methods in multivariate analysis, with an emphasis on multiple linear regression models. ANOVA (analysis of variance). Reading and analyzing multiple linear regression analysis results. Designing and running multiple linear regression models for hypothesis testing. Diagnostic tests and data clean up.			Lectures held on Friday, Nov 5, 12, 19 and 26. | Web add/drop deadline is November 5, 2021 | Web withdrawal with refund deadline is November 12, 2021 | Web withdrawal with NO refund deadline is November 19, 2021 | Labs held on Friday, Nov 5, 12, 19 and 26	Faculty of Engineering	
Social Research Methods 1	URBP 645	1	Selected social research techniques as applied in urban planning, including			Lectures held on Tuesday, Sept 28, Oct 5, 19 and 26. | Web add/drop deadline is September 28, 2021 | Web withdrawal with refund deadline is October 5, 2021 | Web withdrawal with NO refund deadline is October 19, 2021	Faculty of Engineering
Social Research Methods 2	URBP 646	1	Selected social research techniques as applied in urban planning, including				Faculty of Engineering
Selected Methods in Planning 1	URBP 647	1	Special topics related to urban planning methods will be presented by staff and visiting lecturers.				Faculty of Engineering
Selected Methods in Planning 2	URBP 648	1	Special topics related to urban planning methods will be presented by staff and visiting lecturers.				Faculty of Engineering
Visual and Spatial Methods	URBP 649	1	Topics related to visual and spatial methods in urban planning will be presented by staff and visiting lecturers.				Faculty of Engineering
Redesigning Suburban Space	URBP 651	3	Planning and urban design strategies for transforming suburban and exurban settings in North America to meet contemporary needs. Critical approaches to responsible practice in existing cultural landscapes. Adaptive reuse of public space, intensification, densification, transit-oriented retrofit of urban form, community-based design development.				Faculty of Engineering
Urban Innovation and Creativity	URBP 656	3	Exploration of contemporary debates on creativity and innovation as inherently urban phenomena linked to interactions and 'buzz' that occur in urban contexts; discussion of policy impacts including how urban and metropolitan growth is premised upon the capacity to enhance creativity and innovation. Examination of what is meant by creativity and innovation, how they can be connected, and why they are seen as vital to economic development. Arguments for and critiques of 'creative cities' and 'innovative urban areas'. Creative class, geography of innovation, culture and urban development, metropolitan creative-city policies, geographic paradoxes that arise.				Faculty of Engineering	Not open to students who have taken URBP 618 in Winter 2014 (when topic was "Creative Cities
Thesis Submission	URBP 690		Only open to students enrolled in the M.Sc. Urban Planning, Policy and Design (Thesis).	URBP 606		Only open to students enrolled in the M.Sc. Urban Planning, Policy and Design (Thesis).	Faculty of Engineering
Doctoral	URBP 701		Presentation of comprehensive review papers covering material central to the student's dissertation research, with an oral defense before an Advisory Committee.				Faculty of Engineering
Doctoral Research Seminar 1	URBP 703	3	Exploration of concepts and methods pertinent to the development of the dissertation project proposal and comprehensive exam reading list.				Faculty of Engineering	Not open to students who have taken URBP 702.
Doctoral Research Seminar 2	URBP 704	3	Discussion of selected topics in theory and methodology with continued development of dissertation project proposal and comprehensive exam reading list.	URBP 703			Faculty of Engineering
Doctoral Reading Course	URBP 707	3	Exploration of a specific topic relevant to the student's doctoral program under the supervision of a faculty member.				Faculty of Engineering
Doctoral	URBP 708D1		Presentation of research update each semester in residence up to completion of the research proposal (URBP 710).	URBP 704		Students must register for both URBP 708D1 and URBP 708D2. | No credit will be given for this course unless both URBP 708D1 and URBP 708D2 are successfully completed in consecutive terms.	Faculty of Engineering
Doctoral	URBP 708D2		Presentation of research update each semester in residence up to completion of the research proposal (URBP 710).	URBP 708D1.		Students must register for both URBP 708D1 and URBP 708D2. | No credit will be given for this course unless both URBP 708D1 and URBP 708D2 are successfully completed in consecutive terms.	Faculty of Engineering
Doctoral	URBP 709		Preparation of a detailed dissertation research proposal, with an oral defense before an Advisory Committee.	URBP 701			Faculty of Engineering	Not open to students who have taken URBP 705.
Critical Analysis and Composition.	WCOM 150	3	Principles of effective written communication	Permission of the Centre.			Faculty of Arts	Not open to students who have taken CEAP 150.
Communication in Management 1.	WCOM 202	3	Written and oral communication in Management (in English)			Because this course uses a workshop format, attendance at first class is desirable. | Continuing Studies: requirement for the EA, AAC, and the Canadian Institute of Management.	Faculty of Arts	Not open to students who have taken CCOM 205.
Introduction to Creative Writing.	WCOM 203	3	Production of original creative works in English. Study and application of writing techniques and craft elements observed in both traditional and contemporary forms, ranging from poetic forms such as the sonnet, the villanelle, and free verse,to short fiction forms such as the short story and the vignette, to hybrid forms such as prose poetry and flash fiction. Craft, analysis of literary texts, workshop-style critique, and multiple drafts.				Faculty of Arts	Not open to students who have taken CCOM 200.
Communication in Engineering	WCOM 206	3	Written and oral communication in Engineering (in English)			Limited enrolment. | Because this course uses a workshop format, attendance at first class is desirable.	Faculty of Arts	Not open to students who have taken CCOM 206. Only open to students in degree programs.
ESL: Academic English 1	WCOM 225	3	Academic writing skills and communicative competence in English at the intermediate level	Placement test.			Faculty of Arts	Not open to students who have taken CESL 200. Open only to students in degree programs.
ESL: Academic English 2	WCOM 235	3	Academic writing skills and communicative competence in English at the mid-intermediate level. Organizational structures and conventions for academic essays; expressing complex ideas effectively; documenting sources; writing cohesive paragraphs. Independent learning strategies for vocabulary building, grammar, editing techniques, critical thinking and reading skills. Fundamentals of oral presentation, including pronunciation skills.	CESL 200 or WCOM 225 or placement test.			Faculty of Arts	Not open to students who have taken CESL 300. Only open to students in degree programs.
ESL: Essay and Critical Thinking.	WCOM 245	3	Academic writing skills and communicative competence in English at the upper-intermediate level. Critical thinking and reading applied to the whole writing process. Focus on integrating sources, creating effective arguments, and understanding essay structure and paragraph essentials. Academic genres	CESL 300 or WCOM 235 or placement test.			Faculty of Arts	Not open to students who have taken CESL 400. Only open to students in degree programs.
Research Essay and Rhetoric	WCOM 250	3	Academic research-based writing across the disciplines. Article summary, critical analysis, rhetorical strategies, citation and paraphrase of academic sources, and editing for cohesion and clarity.			Intended for students whose first language is English. | Entrance test: Short essay first day of classes.	Faculty of Arts	Not open to students who have taken CESL 500 or CEAP 250 or WCOM 255. Only open to students in degree programs - all years and faculties.
ESL: Research Essay and Rhetoric.	WCOM 255	3	Principles and use of academic research skills to generate academic writing at an advanced level of English across the disciplines. Focus on article summary, critical analysis, and logical reasoning to develop sound arguments and well-reasoned essays. Common rhetorical strategies, citation and paraphrase of academic sources, and editing skills to enhance cohesion and avoid common English-as-a-Second Language (ESL) errors in grammar, syntax, and vocabulary.	CESL 400 or WCOM 245 or placement test.			Faculty of Arts	Not open to students who have taken CEAP 250 or CESL 500. Only open to students in degree programs.
ESL: Academic Skills	WCOM 295	3	The university classroom			Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fourth lecture day. | Although this course follows a MTWR class schedule pattern, the last day of class may be on a Friday.	Faculty of Arts	Only open to students whose first language is not English and who are newly admitted at McGill (into Year 0 or Year 1) to a Bachelor program in the following fall. The course is designed to assist these new students to integrate into the English language milieu at McGill. |  Ce cours s'adresse aux �tudiants dont la langue maternelle n'est pas l'anglais et qui sont nouvellement admis (en premi�re ann�e pr�paratoire - niveau U0 ou premi�re ann�e d'�tudes universitaires - niveau U1) � McGill � un programme de 1er cycle � l'automne suivant. Il est con�u pour faciliter leur int�gration dans le milieu anglophone de McGill. |  Not open to students who have taken CESL 299.
Writing and Community Action.	WCOM 300	3	Exploration of the relationship between experiential writing and community engagement. Instruction in and application of principles of writing pedagogy (in English) and best practices in community leadership.			Not open to students who have taken CCOM 300. | On-site facilitation (1.5 hours per week) of small-group writing events at community organizations and associations.	Faculty of Arts
Writing Poetry.	WCOM 313	3	Production of original works of literary poetry in English. Advanced study and application ofwriting techniques,craft elements, poetic approaches and formal considerations used in contemporary free verse. In-depth instruction in the nuanced use of sound, line, image, rhythm, figurative language, and form. Craft, analysis of modern and contemporary literary poems, workshop-style critique, multiple drafts, and substantive revision.	CCOM 200 or WCOM 203 or permission of the Centr			Faculty of Arts	Not open to students who have taken CCOM 321.
Communicating Science	WCOM 314	3	Production of written and oral assignments (in English) designed to communicate scientific problems and findings to varied audiences Analysis of the disciplinary conventions of scientific discourse in terms of audience, purpose, organization, and style; comparative rhetorical analysis of academic and popular genres, including abstracts, lab reports, research papers, print and online journalism.				Faculty of Arts	Not open to students who have taken CCOM 314.
Writing the Internet	WCOM 317	3	Critical assessment of digital genres in terms of audience, purpose, organization, and style; application of rhetorical strategies for effective communication in digital contexts in English. Topics and readings derived from writing pedagogy and critical analyses of online environments			Not open to students who have taken CCOM 315.	Faculty of Arts
Writing Short Fiction	WCOM 323	3	Production of original works of literary short fiction in English. Advanced study and application of written storytelling techniques and craft elements used in contemporary short fiction forms, with a main focus on the short story. In-depth instruction in the nuanced creation of character, dialogue, scene, setting, point of view, narrative distance, and structure. Craft, analysis of published literary short fiction, workshopstyle critique, multiple drafts, and substantive revision.	CCOM 200 or WCOM 203 or permission of the Centre.			Faculty of Arts	Not open to students who have taken CCOM 322.
